Team_ID,Team,Formation
1,Manchester City,4-3-3
2,Bayern Munich,4-2-3-1
3,Paris Saint-Germain,4-3-3
4,Barcelona,4-3-3
5,Real Madrid,4-3-3
6,Manchester United,4-2-3-1
7,Juventus,3-5-2
8,Aston Villa,4-3-3
9,Borussia Dortmund,4-2-3-1
10,Atletico Madrid,5-3-2
11,Atalanta,3-4-2-1
12,Chelsea,3-4-3
13,Liverpool,4-3-3
14,AC Milan,4-2-3-1
15,Lille,4-4-2
16,Tottenham,3-4-2-1
17,Napoli,4-3-3
18,Leicester,4-2-3-1
19,Wolfsburg,4-2-3-1
20,Inter,3-5-2
21,Lyon,4-3-3
22,RB Leipzig,3-4-3
23,Leeds,4-1-4-1
24,West Ham,4-2-3-1
25,Everton,4-4-2
26,Bayer Leverkusen,4-2-3-1
27,Eintracht Frankfurt,3-4-2-1
28,Monaco,4-4-2
29,Roma,3-4-2-1
30,Sevilla,4-3-3
31,Borussia M.Gladbach,4-2-3-1
32,Arsenal,4-2-3-1
33,Rennes,4-2-3-1
34,VfB Stuttgart,3-4-2-1
35,Wolverhampton Wanderers,3-4-3
36,Sassuolo,4-2-3-1
37,Metz,3-4-3
38,Villarreal,4-4-2
39,Real Sociedad,4-3-3
40,Brighton,3-4-3
41,Real Betis,4-2-3-1
42,Burnley,4-4-2
43,Lens,3-4-2-1
44,Brest,4-4-2
45,Fulham,4-2-3-1
46,Marseille,4-2-3-1
47,Sampdoria,4-4-2
48,Montpellier,4-3-3
49,Nice,4-4-2
50,Hoffenheim,3-5-2
51,Southampton,4-4-2
52,Newcastle United,4-3-3
53,Lazio,4-3-3
54,Nantes,4-2-3-1
55,Union Berlin,3-5-2
56,Strasbourg,3-5-2
57,Crystal Palace,4-3-3
58,Freiburg,3-4-3
59,Valencia,4-4-2
60,Celta Vigo,3-4-3
61,Reims,4-2-3-1
62,Torino,3-4-2-1
63,Verona,3-4-2-1
64,Saint-Etienne,4-3-3
65,Bordeaux,4-2-3-1
66,Hertha Berlin,4-2-3-1
67,Cagliari,3-5-2
68,Mainz 05,3-5-2
69,Bologna,4-2-3-1
70,Augsburg,4-4-2
71,Udinese,3-5-2
72,SD Huesca,3-4-3
73,Athletic Bilbao,4-4-2
74,Osasuna,4-4-2
75,Lorient,4-3-3
76,Genoa,3-5-2
77,Arminia Bielefeld,4-3-3
78,Angers,3-5-2
79,Eibar,4-2-3-1
80,Werder Bremen,3-5-2
81,Fiorentina,4-3-3
82,Nimes,4-3-1-2
83,West Bromwich Albion,4-2-3-1
84,FC Koln,4-2-3-1
85,Deportivo Alaves,4-4-2
86,Levante,4-4-2
87,Spezia,4-3-3
88,Getafe,5-3-2
89,Parma Calcio 1913,4-3-3
90,Elche,4-4-2
91,Granada,4-3-3
92,Cadiz,4-4-2
93,Real Valladolid,4-4-2
94,Sheffield United,4-2-3-1
95,Crotone,4-2-3-1
96,Benevento,4-2-3-1
97,Dijon,4-3-1-2
98,Schalke 04,4-2-3-1
99,Bournemouth,4-2-3-1
100,Luton Town,4-2-3-1
101,Almería,4-4-2
102,Clermont Foot,4-2-3-1
103,Le Havre,3-5-2
104,Mallorca,4-4-2
105,Hellas Verona,3-4-3
106,Darmstadt 98,4-4-2
107,Las Palmas,4-4-2
108,Frosinone,3-5-2
109,Empoli,3-5-2
110,Rayo Vallecano,4-4-2
111,Salernitana,3-5-2
112,Heidenheim,4-4-2
113,Monza,3-4-2-1
114,Nott'ham Forest,4-2-3-1
115,Brentford,4-3-3
116,Toulouse,4-2-3-1
117,Bochum,4-4-2
118,Girona,3-5-2
119,Lecce,4-3-3
